class	総数	男	女
０～４	7290	3731	3559
５～９	7794	4013	3781
１０～１４	8121	4168	3953
１５～１９	10177	5005	5172
２０～２４	22410	11249	11161
２５～２９	32526	17412	15114
３０～３４	30699	16538	14161
３５～３９	29037	15461	13576
４０～４４	24262	12765	11497
４５～４９	20982	10895	10087
５０～５４	17068	8724	8344
５５～５９	16997	8608	8389
６０～６４	19996	9906	10090
６５～６９	16665	7798	8867
７０～７４	14161	6228	7933
７５～７９	13131	5405	7726
８０～８４	9514	3545	5969
８５～８９	5354	1706	3648
９０～９４	2014	532	1482
９５～９９	642	137	505
１００以上	86	8	78
