class	総数	男	女
０～４	10459	5335	5124
５～９	8256	4222	4034
１０～１４	7816	4005	3811
１５～１９	10554	5357	5197
２０～２４	20613	10267	10346
２５～２９	29133	15191	13942
３０～３４	30566	16596	13970
３５～３９	28137	15387	12750
４０～４４	27204	14450	12754
４５～４９	23963	12649	11314
５０～５４	20539	10700	9839
５５～５９	16655	8547	8108
６０～６４	16222	8183	8039
６５～６９	18865	9218	9647
７０～７４	15409	7011	8398
７５～７９	12639	5355	7284
８０～８４	10704	4098	6606
８５～８９	6383	2102	4281
９０～９４	2880	791	2089
９５～９９	700	117	583
１００以上	129	13	116
